Id,Quality
222,5
1514,6
417,5
754,7
516,5
1120,7
180,5
82,5
632,5
592,5
501,7
1586,7
1096,5
1101,6
1488,5
700,5
631,6
1022,6
1420,6
882,6
1170,6
911,6
124,5
1417,7
681,5
63,5
1010,6
418,6
399,5
1265,5
999,5
452,5
347,6
778,6
607,5
32,5
511,5
1035,6
1270,7
723,6
838,7
485,6
142,7
1470,5
1238,5
158,5
426,6
344,7
637,5
1578,5
944,6
469,5
148,5
279,6
1144,5
509,6
1073,6
1423,6
280,7
848,5
650,6
1092,5
76,5
1302,7
1148,6
100,4
533,6
1328,6
253,5
1344,6
544,7
352,4
1367,6
1300,5
635,5
750,4
1479,6
476,7
1355,6
546,6
196,5
1210,6
43,4
1013,4
1378,6
471,7
1410,5
1004,5
740,5
697,5
127,5
1069,5
1319,5
741,5
626,3
621,6
1195,5
339,7
556,6
162,5
1555,5
695,6
457,5
1045,6
12,5
524,5
489,6
453,7
1282,5
423,7
290,7
744,5
435,6
955,6
1055,5
819,5
302,4
455,7
1274,6
710,5
1568,5
72,5
156,6
86,5
1252,5
1280,5
1130,5
1499,5
1434,5
564,6
1559,5
396,5
1081,6
293,5
652,8
1312,5
120,5
220,5
1391,5
1324,5
492,7
427,5
596,6
771,5
538,6
107,6
1436,5
193,6
1370,5
843,5
506,7
388,6
197,7
655,5
1508,6
799,5
194,6
1414,6
1059,6
1487,4
565,5
1333,5
1250,5
871,5
421,6
1336,6
1224,7
813,6
249,4
721,5
1026,5
781,5
808,5
809,6
111,5
766,5
1070,7
497,6
292,5
1529,4
1060,7
56,6
42,5
1535,6
190,6
79,5
1219,7
1384,5
269,6
833,6
1379,5
551,7
947,6
3,6
934,4
749,7
1553,4
1036,6
1107,7
1168,6
1577,5
1291,5
578,5
85,5
1089,6
366,5
90,5
752,5
1590,7
617,6
146,5
241,6
790,5
1116,5
392,6
770,5
395,6
306,6
416,6
512,6
729,5
1415,5
677,5
793,5
94,5
466,7
96,5
325,5
1359,6
16,5
1076,7
900,7
1556,5
1057,5
877,6
953,7
1400,5
1127,4
260,5
608,5
1549,7
376,7
1048,7
1485,5
1471,5
1110,6
1493,5
1019,5
1078,6
1152,5
1395,5
1277,5
1321,5
1234,5
412,5
1111,6
335,5
1526,5
2,5
6,5
1281,5
745,7
1008,7
298,5
415,5
736,5
679,5
1220,7
439,5
989,6
500,5
1053,7
611,6
1335,5
595,5
361,6
35,5
1237,5
67,5
155,6
80,5
1147,6
296,5
170,5
1439,6
946,7
